user_id,general_interest,Age
14515,"mystery, thriller, crime",40
19144,"history, historical fiction, biography",72
14018,"comics, graphic",92
18737,children,98
5233,"mystery, thriller, crime",96
20534,poetry,60
8187,non-fiction,87
16926,non-fiction,73
20473,"comics, graphic",39
10458,"history, historical fiction, biography",98
7152,"comics, graphic",70
11413,romance,39
12859,poetry,33
4763,"history, historical fiction, biography",96
15618,non-fiction,82
10821,"comics, graphic",40
1239,non-fiction,75
19546,"comics, graphic",32
6189,poetry,35
16845,young-adult,23
4557,fiction,88
10673,"history, historical fiction, biography",99
19714,"fantasy, paranormal",27
6224,"fantasy, paranormal",88
18063,non-fiction,42
12129,young-adult,54
18773,"history, historical fiction, biography",60
15019,romance,33
17118,fiction,82
16015,romance,29
19009,children,94
15385,fiction,69
421,poetry,92
18896,non-fiction,85
10276,romance,91
3350,"history, historical fiction, biography",59
16901,young-adult,74
9399,fiction,98
12995,fiction,72
20208,"fantasy, paranormal",20
6404,"comics, graphic",34
9269,fiction,95
1345,young-adult,36
5713,romance,60
14188,romance,26
16851,romance,63
11636,young-adult,33
16477,children,34
13067,"fantasy, paranormal",36
12164,"history, historical fiction, biography",24
19970,"comics, graphic",95
17773,poetry,46
15030,poetry,34
12248,poetry,49
5646,"history, historical fiction, biography",90
18042,"history, historical fiction, biography",84
19582,fiction,54
4656,fiction,75
2431,romance,37
10246,"mystery, thriller, crime",70
11109,children,56
10790,romance,52
11858,fiction,54
15328,romance,78
1558,"fantasy, paranormal",18
13888,"fantasy, paranormal",26
20367,fiction,81
12902,non-fiction,96
15684,children,49
14311,"history, historical fiction, biography",56
5550,non-fiction,35
8569,children,99
19269,fiction,93
16689,non-fiction,27
16532,romance,29
6925,"fantasy, paranormal",90
8252,poetry,47
17949,fiction,41
19285,young-adult,81
2805,poetry,27
6384,poetry,32
15973,non-fiction,93
8752,"comics, graphic",33
6979,children,50
947,"comics, graphic",29
20233,non-fiction,52
15306,"fantasy, paranormal",20
6822,"history, historical fiction, biography",23
14050,"mystery, thriller, crime",91
8847,romance,26
14691,romance,54
11015,"history, historical fiction, biography",38
13656,"history, historical fiction, biography",84
16978,children,22
18683,children,76
3204,"fantasy, paranormal",52
6721,"fantasy, paranormal",44
9915,"fantasy, paranormal",33
10433,poetry,52
1012,children,71
9696,non-fiction,54
8509,romance,43
9296,"history, historical fiction, biography",49
13330,poetry,38
7985,"mystery, thriller, crime",26
9418,romance,52
3536,romance,77
3251,young-adult,99
2124,"history, historical fiction, biography",70
20027,"comics, graphic",86
18524,"comics, graphic",99
10991,romance,86
7851,"mystery, thriller, crime",29
5498,non-fiction,28
1980,poetry,97
11494,non-fiction,83
1571,"mystery, thriller, crime",45
20151,"fantasy, paranormal",45
4938,young-adult,50
11472,"fantasy, paranormal",67
7700,"mystery, thriller, crime",71
16319,non-fiction,97
8791,poetry,94
16963,romance,45
20267,non-fiction,42
15147,fiction,72
8974,poetry,89
11203,poetry,75
12703,"fantasy, paranormal",78
16137,"history, historical fiction, biography",34
9093,romance,68
1433,"history, historical fiction, biography",46
1760,"history, historical fiction, biography",99
16181,poetry,52
20256,young-adult,23
9560,poetry,68
17960,"comics, graphic",93
19392,"fantasy, paranormal",76
5722,non-fiction,94
4084,"mystery, thriller, crime",76
4829,young-adult,85
9030,children,99
12285,"fantasy, paranormal",65
20510,"mystery, thriller, crime",66
19050,children,26
18508,children,98
4304,"comics, graphic",39
11291,young-adult,32
17490,fiction,41
11486,fiction,29
6006,non-fiction,96
13661,non-fiction,56
17870,"mystery, thriller, crime",78
9060,"history, historical fiction, biography",24
12304,poetry,20
5795,poetry,40
17859,poetry,28
18379,fiction,90
6102,non-fiction,95
17956,romance,39
833,romance,20
14518,"fantasy, paranormal",81
11826,romance,50
3620,non-fiction,77
19063,"fantasy, paranormal",59
2797,children,52
17184,fiction,59
13311,"history, historical fiction, biography",51
20023,"fantasy, paranormal",33
10759,romance,23
3105,fiction,26
12577,poetry,53
19545,children,85
10596,"fantasy, paranormal",63
11097,fiction,49
14281,romance,18
18308,"mystery, thriller, crime",93
2183,"fantasy, paranormal",57
3530,"fantasy, paranormal",81
20055,romance,74
7426,romance,74
16814,young-adult,95
4099,"fantasy, paranormal",25
18153,non-fiction,83
718,young-adult,60
13814,"mystery, thriller, crime",59
12126,"mystery, thriller, crime",80
11865,"fantasy, paranormal",73
5630,"history, historical fiction, biography",41
11499,"comics, graphic",99
4040,children,26
706,"comics, graphic",70
8849,"comics, graphic",40
6465,"history, historical fiction, biography",94
12985,fiction,46
3237,poetry,39
2685,fiction,23
860,"comics, graphic",55
14524,poetry,92
9710,"mystery, thriller, crime",77
9973,"mystery, thriller, crime",72
16100,children,23
5566,non-fiction,22
3962,"comics, graphic",22
928,"mystery, thriller, crime",83
19699,"fantasy, paranormal",83
13298,children,51
13469,"mystery, thriller, crime",46
4636,non-fiction,94
14821,non-fiction,79
6541,fiction,97
2300,"fantasy, paranormal",47
3881,poetry,26
11951,children,95
4473,fiction,94
696,"fantasy, paranormal",30
9012,young-adult,64
10257,children,25
9854,"mystery, thriller, crime",74
2092,romance,19
11514,"history, historical fiction, biography",86
15154,poetry,80
18458,"comics, graphic",76
13407,romance,95
1209,children,86
16428,"history, historical fiction, biography",42
14140,"mystery, thriller, crime",22
18640,"history, historical fiction, biography",46
9872,non-fiction,98
15770,romance,50
6402,"history, historical fiction, biography",26
8876,young-adult,90
1710,"comics, graphic",94
18087,children,33
17805,young-adult,48
16156,fiction,88
9475,children,51
16581,fiction,42
12051,fiction,42
20624,"mystery, thriller, crime",46
19933,"comics, graphic",95
16982,poetry,58
3083,young-adult,43
15133,"mystery, thriller, crime",89
11943,poetry,56
18980,children,85
8261,romance,49
4072,children,96
2737,fiction,48
14425,non-fiction,74
17452,"comics, graphic",38
19003,non-fiction,32
15560,"history, historical fiction, biography",71
990,"comics, graphic",92
12143,"fantasy, paranormal",53
6296,fiction,27
